GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
app-money-exchange,pe.com.moneyexchange.model.entity,MoneyExchange,0,37,0,0,0,15,0,8,0,8
app-money-exchange,pe.com.moneyexchange.model.entity,MoneyExchange.Builder,0,28,0,0,0,9,0,5,0,5
app-money-exchange,pe.com.moneyexchange.expose.web,LoginController,4,17,1,1,1,6,1,2,0,2
app-money-exchange,pe.com.moneyexchange.expose.web,MoneyExchangeController,0,27,0,0,0,8,0,2,0,2
app-money-exchange,pe.com.moneyexchange.factory.mongo,MongoConnection,10,43,0,2,3,14,0,5,0,4
app-money-exchange,pe.com.moneyexchange.factory.mongo,MongoDaoFactory,6,18,0,0,2,7,0,4,0,4
app-money-exchange,pe.com.moneyexchange.service.impl,MoneyExchangeServiceImpl,0,17,0,0,0,5,0,2,0,2
app-money-exchange,pe.com.moneyexchange.service.impl,LoginServiceImpl,0,16,0,0,0,5,0,2,0,2
app-money-exchange,pe.com.moneyexchange.exceptions,ExceptionAdvice,0,22,0,0,0,6,0,4,0,4
app-money-exchange,pe.com.moneyexchange.exceptions,DataNotFoundException,0,4,0,0,0,2,0,1,0,1
app-money-exchange,pe.com.moneyexchange.exceptions,BadCredentialsException,0,4,0,0,0,2,0,1,0,1
app-money-exchange,pe.com.moneyexchange.util,Constants,3,0,0,0,1,0,1,0,1,0
app-money-exchange,pe.com.moneyexchange.factory,DaoFactory,4,9,1,1,1,3,1,2,0,2
app-money-exchange,pe.com.moneyexchange.model.api,MoneyExchangeResponse,12,25,0,0,6,9,3,5,3,5
app-money-exchange,pe.com.moneyexchange.model.api,LoginRequest,0,17,0,0,0,7,0,5,0,5
app-money-exchange,pe.com.moneyexchange.model.api,ResponseError,0,10,0,0,0,4,0,3,0,3
app-money-exchange,pe.com.moneyexchange.model.api,MoneyExchangeResponse.Builder,0,28,0,0,0,9,0,5,0,5
app-money-exchange,pe.com.moneyexchange.model.api,MoneyExchangeRequest,0,17,0,0,0,7,0,5,0,5
app-money-exchange,pe.com.moneyexchange.dao,MongoMoneyExchangeDao,0,67,0,0,0,11,0,3,0,3
app-money-exchange,pe.com.moneyexchange.dao,MongoLoginDao,0,55,0,0,0,9,0,3,0,3
app-money-exchange,pe.com.moneyexchange,AppMoneyExchangeApplication,5,3,0,0,2,1,1,1,1,1
